customer_id,first_name,last_name,gender,birth_date,age,location
1,John,Smith,Male,1990-01-15,33,New York
2,Jane,Doe,Female,1985-07-08,38,Chicago
3,Alice,Johnson,Female,1992-03-12,31,Los Angeles
4,Bob,Brown,Male,1978-11-25,45,Houston
5,Emily,Davis,Female,2000-06-30,23,Phoenix
6,Michael,Wilson,Male,1982-09-14,41,Philadelphia
7,Sarah,Taylor,Female,1995-02-20,28,San Antonio
8,Chris,Moore,Male,1975-05-05,48,San Diego
9,Jessica,Anderson,Female,1989-08-22,34,Dallas
10,Paul,Thomas,Male,1997-12-01,25,San Jose
11,Laura,Jackson,Female,1991-01-09,32,Austin
12,Kevin,White,Male,1987-04-16,36,Fort Worth
13,Megan,Harris,Female,1994-07-13,29,Columbus
14,David,Martin,Male,1993-11-19,30,Charlotte
15,Olivia,Thompson,Female,1988-03-24,35,San Francisco
16,Daniel,Garcia,Male,1996-09-07,27,Indianapolis
17,Sophia,Martinez,Female,2001-05-12,22,Seattle
18,Andrew,Robinson,Male,1984-12-30,38,Denver
19,Emma,Clark,Female,1999-06-17,24,Washington
20,Matthew,Rodriguez,Male,1983-02-11,40,Boston
21,Natalie,Lewis,Female,1998-09-23,25,El Paso
22,Jake,Lee,Male,1979-07-04,44,Detroit
23,Rebecca,Walker,Female,1990-12-14,32,Memphis
24,Henry,Turner,Male,1977-03-02,46,Nashville
25,Grace,Allen,Female,1986-08-11,37,Baltimore
26,Ethan,Scott,Male,1995-01-26,28,Louisville
27,Anna,Hernandez,Female,1993-04-05,30,Milwaukee
28,Joshua,King,Male,1981-10-21,42,Albuquerque
29,Chloe,Carter,Female,1996-01-30,27,Tucson
30,Ryan,Mitchell,Male,1992-05-19,31,Fresno
31,Lily,Perez,Female,2000-08-09,23,Sacramento
32,Alexander,Roberts,Male,1984-12-25,38,Long Beach
33,Victoria,Richardson,Female,1980-06-20,43,Kansas City
34,Lucas,Coleman,Male,1999-11-05,23,Mesa
35,Zoe,Murphy,Female,1997-12-31,25,Atlanta
36,Nathan,Bailey,Male,1998-03-18,25,Omaha
37,Mia,Rogers,Female,1988-06-07,35,Colorado Springs
38,Jacob,Reed,Male,1985-09-17,38,Raleigh
39,Abigail,Sanders,Female,1991-10-30,32,Miami
40,Gabriel,Stewart,Male,1990-05-13,33,Virginia Beach
41,Ella,James,Female,1983-11-02,39,Oakland
42,Logan,Hughes,Male,1997-07-28,26,Minneapolis
43,Natalie,Parker,Female,2002-04-15,21,Tulsa
44,Christian,Evans,Male,1977-08-27,46,New Orleans
45,Sophia,Edwards,Female,1995-02-14,28,Wichita
46,Jonathan,Collins,Male,2003-05-29,20,Arlington
47,Hannah,Bell,Female,1982-10-12,40,Bakersfield
48,Tyler,Brooks,Male,1979-05-08,44,Tampa
49,Victoria,Price,Female,2001-12-21,21,Honolulu
50,Jack,Russell,Male,1994-03-03,29,Anaheim
51,Amelia,Foster,Female,1992-11-14,31,Aurora
52,Dylan,Kim,Male,1986-07-25,37,Santa Ana
53,Samantha,Gutierrez,Female,1989-02-06,34,St. Louis
54,Caleb,Diaz,Male,1998-06-22,25,Pittsburgh
55,Julia,Peters,Female,1993-09-16,30,Cincinnati
56,Aiden,Tran,Male,1987-12-09,35,Riverside
57,Evelyn,Long,Female,1991-05-03,32,Cleveland
58,Elijah,Bennett,Male,1980-10-29,43,Lexington
59,Scarlett,Gray,Female,1984-04-20,39,Anchorage
60,Luke,Harrison,Male,1990-03-15,33,Lincoln
61,Harper,Gonzalez,Female,1994-09-06,29,Buffalo
62,David,Roberts,Male,1978-06-02,45,Fort Wayne
63,Avery,Mendoza,Female,1985-11-19,37,Jersey City
64,Hunter,Fields,Male,1996-07-09,27,Scottsdale
65,Liam,Vasquez,Male,1983-05-05,40,San Bernardino
66,Addison,Cruz,Female,1979-02-27,44,Reno
